name,company,phone,email,product,website,info
,DogTuff,1-877-341-0633,bark@dogtuff.com,"Durable dog toys, chew toys and pet accessories",https://www.dogtuff.com/,Homepage and all product sections use only static photography; no video anywhere
Tai,Tai Swim Co,(818) 452-0165,info@taiswim.co,"Reversible bikinis and swimwear",https://taiswim.co/,Homepage hero is a rotating carousel of static photos; no video content
Noah & Dane,Sock Club,1-512-981-6437,support@sockclub.com,"Monthly subscription socks, made in the USA",https://www.sockclub.com/,Homepage and About page use only static imagery; no video embeds found
Kaevon,Bells of Steel,1-888-718-7997,support@bellsofsteel.us,"Kettlebells and home gym equipment",https://bellsofsteel.us/,Homepage relies entirely on static product photography; no video found
Molly & Joel,Desmond & Dempsey,+44 (0)20 3925 3956,hello@desmondanddempsey.com,"Luxury printed cotton pyjamas and sleepwear",https://desmondanddempsey.com/,Homepage uses only static lifestyle photography; no video tags present
Jay Baldemor,Gruv Gear,+1-714-253-4788,customercare@gruvgear.com,"Musical instrument carrying gear (straps, bags, FretWraps)",https://gruvgear.com/,Homepage banners are static images only; no video or iframe embeds found
,D2D Cycling Clothing,07963 522878,,"Cycling apparel for tall and plus-size riders",https://www.d2dcyclingclothing.co.uk/,Homepage displays static product photos only; no video content found
,Vego Garden,(866) 597-1888,hello@vegogarden.com,"Modular metal raised garden beds",https://www.vegogarden.com/,Homepage promo banner and product grid are static images only; no video found
Stephanie Carter,Wallaroo Hat Company,888-925-2766,info@wallaroohats.com,"Sun-protective packable hats",https://wallaroohats.com/,Homepage uses static carousel of product photography only; no video embeds found
Jillian Sassone,Marrow Fine,(858) 764-4409,info@marrowfine.com,"Fine 14k gold jewelry",https://www.marrowfine.com/,Homepage features static product photography for all collections; no video found
Garrett Gosselin,CRBN Pickleball,1-833-700-2726,support@crbnpickleball.com,"Carbon fiber pickleball paddles",https://crbnpickleball.com/,Homepage relies on static product and athlete photography; no video embeds found
,East End Prints,0207 241 1118,info@eastendprints.co.uk,"Art prints and framed wall art from independent artists",https://eastendprints.co.uk/,Homepage banner and listings are static images only; no video content found
,Peepers,(219) 872-4413,peeps@peepers.com,"Reading glasses and blue light glasses",https://www.peepers.com/,Homepage hero and product grid use only static photography; no video embeds found
,Bespoke Post,888-688-4817,help@bespokepost.com,"Curated men's lifestyle subscription boxes",https://www.bespokepost.com/,Homepage markup shows no video/YouTube/Vimeo embeds; static imagery and text only
,Swim Republic,(323) 880-0596,,"Women's swimwear (bikinis, one-pieces)",https://swimrepublic.com/,Homepage uses only static logo and product imagery; no video embeds found
,Davek,(212) 749-8746,support@davekny.com,"Wind-resistant travel umbrellas",https://davekny.com,Homepage relies entirely on static product photography; no video content anywhere
AL Sandimir,Automic Gold,888-992-8866,care@automicgold.com,"Fine gold jewelry",https://automicgold.com,Homepage and product pages use only static photography; no video anywhere
Elle,Solly Baby,760-707-3243,info@sollybaby.com,"Baby wraps and soft-structured carriers",https://sollybaby.com,Homepage and product pages show only static photography; no video anywhere
Bryan Pape,MiiR,1-855-217-5603,hello@miir.com,"Insulated water bottles and drinkware",https://miir.com,Homepage shows only static product and lifestyle photography; no video anywhere
Jennifer Behr,Jennifer Behr,+1 917 617 9204,shop@jenniferbehr.com,"Luxury hair accessories",https://www.jenniferbehr.com,Homepage and product pages show only static photography; no video anywhere
,Ladyfingers Letterpress,401-523-3087,,"Letterpress greeting cards and stationery",https://ladyfingersletterpress.com,Homepage shows only static images; no video anywhere
,American Trench,+1 (484) 413-2170,info@americantrench.com,"American-made socks and menswear accessories",https://americantrench.com,Homepage shows only static product photography; no video anywhere
Amahlia Stevens,Vitamin A,1-877-836-4610,service@vitaminaswim.com,"Sustainable swimwear",https://www.vitaminaswim.com,Homepage and product pages show only static photography; no video anywhere
,Tegu,877-834-8869,service@tegu.com,"Magnetic wooden building blocks for kids",https://tegu.com,Homepage shows only static product photography; no video anywhere
Emily Hikade,Petite Plume,1-800-298-1381,info@petite-plume.com,"Luxury pajamas and sleepwear",https://www.petite-plume.com,Homepage shows only static photography; no video anywhere
Joe Raya & MariElena Raya,Bittermilk,843-641-0455,,"Handcrafted cocktail mixers",https://bittermilk.com,Homepage shows only static product photography; no video anywhere
Rob McAlister,Umbrella Heaven,+44 (0)1525 382938,info@umbrellaheaven.com,"Umbrellas (walking, windproof, novelty styles)",https://umbrellaheaven.com,Homepage shows only static product photography; no video anywhere
Anna Sheffield,Anna Sheffield,+1 212 925 7010,info@annasheffield.com,"Fine and commitment jewelry",https://www.annasheffield.com,Homepage shows only static photography; no video anywhere
