"company","email","market","product_category","website","instagram_handle","subject","body","html_body"
"Wise Owl Outfitters","hello@wiseowloutfitters.com","USA · Franklin, TN","Camping hammocks & outdoor gear","https://wiseowloutfitters.com/","@wiseowloutfitters","Video concept for Wise Owl Outfitters","Hello! I came across Wise Owl Outfitters and your camping hammocks & outdoor gear really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Wise Owl Outfitters.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Wise Owl Outfitters and your camping hammocks & outdoor gear really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Wise Owl Outfitters.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Big Sky International","CustomerService@BigSkyInternational.com","USA · Jackson, WY","Ultralight backpacking tents & camping accessories","https://bigskyinternational.com/","@bigskyinternational","Video concept for Big Sky International","Hello! I came across Big Sky International and your ultralight backpacking tents & camping accessories really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Big Sky International.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Big Sky International and your ultralight backpacking tents & camping accessories really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Big Sky International.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Etowah Outfitters","paul@backpackingadventuregear.com","USA · Cartersville, GA","Ultralight backpacking gear & alcohol stoves","https://backpackingadventuregear.com/","@etowah.adventure.co","Video concept for Etowah Outfitters","Hello! I came across Etowah Outfitters and your ultralight backpacking gear & alcohol stoves really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Etowah Outfitters.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Etowah Outfitters and your ultralight backpacking gear & alcohol stoves really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Etowah Outfitters.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Alpenglow Gear","support@alpenglowgear.co","USA · California","Ultralight backpacking accessories (pad inflators, fuel valves)","https://alpenglowgear.co/","@alpenglow_gear","Video concept for Alpenglow Gear","Hello! I came across Alpenglow Gear and your ultralight backpacking accessories really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Alpenglow Gear.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Alpenglow Gear and your ultralight backpacking accessories really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Alpenglow Gear.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Bannor Toys","Hello@Bannortoys.com","USA · Baby & Kids D2C","Kids Toys (Wooden/Montessori)","https://bannortoys.com/","@bannortoys","Video concept for Bannor Toys","Hello! I came across Bannor Toys and your kids toys really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Bannor Toys.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Bannor Toys and your kids toys really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Bannor Toys.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Audrey & Bear","friends@audreyandbear.com","USA · Baby & Kids D2C","Baby Blankets & Swaddles","https://audreyandbear.com/","@audreyandbear","Video concept for Audrey & Bear","Hello! I came across Audrey & Bear and your baby blankets & swaddles really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Audrey & Bear.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Audrey & Bear and your baby blankets & swaddles really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Audrey & Bear.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"mini + meep","hello@miniandmeep.com","USA · Baby & Kids D2C","Organic Baby & Toddler Clothing","https://miniandmeep.com/","@miniandmeep","Video concept for mini + meep","Hello! I came across mini + meep and your organic baby & toddler clothing really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for mini + meep.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across mini + meep and your organic baby & toddler clothing really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for mini + meep.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Davin & Adley","Support@davinandadley.com","USA · Baby & Kids D2C","Nursing & Pumping Bras","https://www.davinandadley.com/","@davinandadley","Video concept for Davin & Adley","Hello! I came across Davin & Adley and your nursing & pumping bras really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Davin & Adley.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Davin & Adley and your nursing & pumping bras really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Davin & Adley.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Happy Baby Carriers","info@happybabycarriers.com","USA · Baby & Kids D2C","Baby Carriers","https://happybabycarriers.com/","@happybaby","Video concept for Happy Baby Carriers","Hello! I came across Happy Baby Carriers and your baby carriers really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Happy Baby Carriers.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Happy Baby Carriers and your baby carriers really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Happy Baby Carriers.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Dannico Woodworks","support@dannicowoodworks.com","USA · Baby & Kids D2C","Kids Furniture (Montessori)","https://dannicowoodworks.com/","@dannicowoodworks","Video concept for Dannico Woodworks","Hello! I came across Dannico Woodworks and your kids furniture really caught my attention.

My name is Ethan and I'm writing to you with a collaboration proposal.

I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)

I specialize in motion design and I'd love to create a high-converting video for Dannico Woodworks.

Here's my portfolio: https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing

If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.

Best regards,
Ethan

Teammate | Jakob Rösler
Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany
jakob.roesler@teammateapp.site

Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away.","Hello! I came across Dannico Woodworks and your kids furniture really caught my attention.<br>
<br>
My name is Ethan and I'm writing to you with a collaboration proposal.<br>
<br>
I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br>
<br>
I specialize in motion design and I'd love to create a high-converting video for Dannico Woodworks.<br>
<br>
Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br>
<br>
If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br>
<br>
Best regards,<br>
Ethan<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
